"id","type","processing_method","day","shift","details","sku_id","qty","op_pallet_pick","op_cont_pick","op_cont_deliver","op_cont_aboard","op_load_deliver"
246408,"3","b","MON","D",20,1032779,135,1,0,0,0,0
246408,"3","b","MON","D",20,1033095,36,1,0,0,0,0
246408,"3","b","MON","D",20,1033404,42,1,0,0,0,0
246425,"0","b","MON","D",71,1033245,12,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033557,30,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1032827,8,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033546,36,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033568,24,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1033051,6,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1033537,54,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1032898,8,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1032906,8,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1032752,6,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033504,48,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033540,48,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033294,60,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033368,42,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033066,42,0,3,1.66197183,66,0
246425,"0","b","MON","D",71,1033540,48,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033066,30,0,3,1.66197183,66,0
246425,"0","b","MON","D",71,1033368,42,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033294,42,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1032922,318,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1032906,8,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033504,30,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033537,36,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033556,12,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1033012,12,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1032982,24,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1032881,8,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033387,8,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033427,24,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033011,48,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1032779,27,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033334,36,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033549,12,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1033412,150,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1033437,24,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1033406,60,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033494,42,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1033596,15,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1032986,15,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1032880,24,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1033601,12,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1032910,8,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1032857,15,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033585,12,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033390,24,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033334,36,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033412,66,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1032738,12,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1032917,24,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033450,8,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1032749,27,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033011,36,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1032832,12,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033029,12,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033027,12,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033555,24,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1032910,8,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033012,12,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1032855,8,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033494,18,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1032866,15,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033552,8,0,0,1.66197183,66,0
246425,"0","b","MON","D",71,1032755,30,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033157,36,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033546,72,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033467,10,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033178,15,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033265,36,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1033245,42,0,2,1.66197183,66,0
246425,"0","b","MON","D",71,1033514,54,0,1,1.66197183,66,0
246425,"0","b","MON","D",71,1032865,15,0,1,1.66197183,66,0
246434,"p","b","TUE","D",6,1033604,864,4,0,0,0,4
246434,"p","b","TUE","D",6,1033300,3456,4,0,0,0,4
246434,"p","b","TUE","D",6,1032752,630,4,0,0,0,4
246434,"p","b","TUE","D",6,1032984,2040,4,0,0,0,4
246434,"p","b","TUE","D",6,1033300,3456,4,0,0,0,4
246434,"p","b","TUE","D",6,1033283,84,4,0,0,0,4
246476,"0","o","WED","D",3,1032789,12000000,26,0,0,0,51
246476,"0","o","WED","D",3,1032787,3996000,26,0,0,0,51
246476,"0","o","WED","D",3,1032780,2400000,26,0,0,0,51
246485,"6","b","THU","D",5,1032755,1728,7,0,0,0,14
246485,"6","b","THU","D",5,1032926,1728,7,0,0,0,14
246485,"6","b","THU","D",5,1032946,3840,7,0,0,0,14
246485,"6","b","THU","D",5,1033599,2592,7,0,0,0,14
246485,"6","b","THU","D",5,1033012,864,7,0,0,0,14
246487,"3","b","THU","D",3,1032736,1260,3,0,0,0,6
246487,"3","b","THU","D",3,1032986,1710,3,0,0,0,6
246487,"3","b","THU","D",3,1033604,1044,3,0,0,0,6
246509,"3","b","THU","D",1,1033012,17280,20,0,0,0,40
246510,"3","b","THU","D",11,1033596,75,1,0,0,0,0
246510,"3","b","THU","D",11,1033585,60,1,0,0,0,0
246510,"3","b","THU","D",11,1032865,75,1,0,0,0,0
246510,"3","b","THU","D",11,1032928,40,1,0,0,0,0
246510,"3","b","THU","D",11,1032880,120,1,0,0,0,0
246510,"3","b","THU","D",11,1032855,40,1,0,0,0,0
246510,"3","b","THU","D",11,1033012,60,1,0,0,0,0
246510,"3","b","THU","D",11,1033604,60,1,0,0,0,0
246510,"3","b","THU","D",11,1032789,120000,1,0,0,0,0
246510,"3","b","THU","D",11,1032782,90000,1,0,0,0,0
246510,"3","b","THU","D",11,1032785,60000,1,0,0,0,0
246532,"e","o","FRI","D",12,1032810,3456,6,0,0,0,11
246532,"e","o","FRI","D",12,1032741,2016,6,0,0,0,11
246532,"e","o","FRI","D",12,1032754,864,6,0,0,0,11
246532,"e","o","FRI","D",12,1032754,864,6,0,0,0,11
246532,"e","o","FRI","D",12,1033537,870,6,0,0,0,11
246532,"e","o","FRI","D",12,1033412,30,6,0,0,0,11
246532,"e","o","FRI","D",12,1032857,75,6,0,0,0,11
246532,"e","o","FRI","D",12,1033547,54,6,0,0,0,11
